"Model","Classes","LogLik","AIC","AWE","BIC","CAIC","CLC","KIC","SABIC","ICL","Entropy","prob_min","prob_max"
2,1,-6010.87716726292,12061.7543345258,12320.3029407676,12142.0286376467,12162.0286376467,12023.7543345258,12084.7543345258,12078.5651222088,-12142.0286376467,1,1,1
6,1,-5499.59495510123,11129.1899102025,11973.972880488,11390.0813953452,11455.0813953452,11001.1899102025,11197.1899102025,11183.8249701721,-11390.0813953452,1,1,1
1,1,-6010.87716726292,12061.7543345258,12320.3029407676,12142.0286376467,12162.0286376467,12023.7543345258,12084.7543345258,12078.5651222088,-12142.0286376467,1,1,1
3,1,-5499.59495510123,11129.1899102025,11973.972880488,11390.0813953452,11455.0813953452,11001.1899102025,11197.1899102025,11183.8249701721,-11390.0813953452,1,1,1
