"Class","mean_posprob","prop_over80","Solution"
1,1,1,1
1,0.637613091534426,0.0432432432432432,2
2,0.564272643308156,0,2
1,0.63295473190121,0.0340314136125654,3
2,0.537310991123777,0,3
1,0.968420391990608,0.944444444444444,4
2,0.993134303944374,0.983606557377049,4
3,0.947460711327614,0.894736842105263,4
4,0.960543789140418,1,4
