"","Estimate","Std. Error","t value"
"(Intercept)",2.24849753086795,0.0870995575148144,25.8152577926187
"SIB_time1",-0.0307552816501348,0.026731805815782,-1.15051268373263
"SIB_time2",-0.00514089046375619,0.00328121952517419,-1.56676212131319
"SIB_time3",-0.00017003192157202,0.000104581761452089,-1.6258276702474
"SIB_time1:FirstSIB",0.0275563409493664,0.0427656052975767,0.644357556910996
"SIB_time2:FirstSIB",0.00420424246211343,0.00448747790276744,0.936883156465386
"SIB_time3:FirstSIB",0.000236015568321646,0.000163129052583614,1.44680278947045
