"","Estimate","Std. Error","t value"
"(Intercept)",1.85690293220032,0.0779413436566874,23.8243638752177
"SIB_time1",0.0758497544444519,0.0248338880286971,3.05428430525268
"SIB_time2",0.00756003434204878,0.00305315407881898,2.4761391488546
"SIB_time3",0.000200511527575939,9.73885261925344e-05,2.05888245171237
"SIB_time1:FirstSIB",-0.0663728599137785,0.0396372573131829,-1.67450687592614
"SIB_time2:FirstSIB",-0.0114967547643769,0.00420247514235352,-2.73571035519281
"SIB_time3:FirstSIB",-4.80752669861297e-05,0.000151806491161606,-0.316687821569837
