"Class","Distress_M","Excited_M","Upset_M","Inspired_M","Nervous_M","Determined_M","Scared_M","Afraid_M","Enthusiast_M","Alert_M","SIB_engagement","NSSI_engagement","ED_engagement","Binge_engagement"
1,1,-0.222222222222222,0.944444444444444,-0.222222222222222,0.888888888888889,0.277777777777778,2,2.16666666666667,0.0555555555555556,0.666666666666667,24,4,18,3
2,0.128415300546448,0.0765027322404372,0.0710382513661202,-0.0136612021857923,0.114754098360656,-0.0355191256830601,0.0327868852459016,0.00546448087431694,0.0300546448087432,0.12568306010929,411,44,300,79
3,-0.105263157894737,-0.105263157894737,-0.210526315789474,-0.263157894736842,-0.894736842105263,-0.157894736842105,-1.94736842105263,-1.42105263157895,0.105263157894737,0.473684210526316,27,4,21,4
4,-0.833333333333333,-0.166666666666667,1.33333333333333,1.66666666666667,-1,-0.166666666666667,1.5,0.833333333333333,1.66666666666667,0,6,1,4,1
NA,0,0,0.666666666666667,-2,0,0.333333333333333,-0.5,0.333333333333333,-0.666666666666667,-1,4,0,1,3
